Accession	AccessionNoIsoform	Gene	Description	NeuroMarker	LysosomalMarkers	HD1_IN	HD4_IN	HD5_IN	HD6_IN	HDKP_IN	HDRH_IN	HDSD_IN	HD1_FB	HD4_FB	HD5_FB	HD6_FB	HDKP_FB	HDRH_FB	HDSD_FB	C11_IN	C12_IN	CBS_IN	CGE_IN	CKK_IN	CKP_IN	TS_IN	C11_FB	C12_FB	CBS_FB	CGE_FB	CKK_FB	CKP_FB	TS_FB 
Q9NZM1	Q9NZM1	MYOF	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1			25.93371964	26.70230675	25.58276749	25.83301544	25.87824059	25.47697067	25.55264473	26.65500832	26.88035583	26.77021027	26.61749649	26.66601563	26.64677811	26.73607635	25.9728756	26.96894264	26.11442184	26.90015793	26.17418671	26.3215847	25.36058617	26.7915535	27.4477253	26.56944656	27.5490303	27.12376022	27.62592506	26.8510704
P50395	P50395	GDI2	Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2			25.98605919	26.01428223	25.52781677	25.72745895	25.87624741	25.52919579	25.99937248	26.31476784	26.22530746	26.27942848	26.17434883	26.2818718	26.14867783	26.41967392	25.91434669	26.27126312	25.95345497	26.09187126	25.82322693	25.931633	25.22214508	25.99274254	26.22480011	26.28735542	26.28186989	26.23308372	26.23080444	26.25183868
Q13510-2	Q13510	ASAH1	Isoform 2 of Acid ceramidase OS=Homo sapiens OX=9606 GN=ASAH1		+	25.64279366	25.4797039	25.85900879	25.80602455	25.87463188	25.72830582	25.69568253	21.37298012	21.6778183	21.57245064	21.23612213	21.40167618	21.54850578	21.79937744	25.69877052	25.03099632	25.63637352	25.30907059	25.67219734	25.56873512	25.94947815	21.38898277	21.86000252	22.05055809	21.97650719	21.41676712	22.10599518	22.10106277
P30086	P30086	PEBP1	Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3			25.83289909	26.09884644	25.72857285	25.64894295	25.8379612	25.77004623	25.78338814	25.72900772	25.9170723	25.68106079	25.53402138	25.74481964	25.5807724	26.06916428	25.83296204	26.16204453	25.93006516	25.92728233	25.8444767	26.06593513	26.16608429	25.6179142	25.90335464	25.56036186	25.94049072	26.01385689	25.8723774	25.86899948
O43390	O43390	HNRNPR	Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1			25.54809952	25.67518044	26.06312752	26.07146835	25.85936356	25.9341507	25.787714	25.50835419	25.49284172	25.60061264	25.60415649	25.53618622	25.43942833	25.22117615	25.75524521	25.24907875	25.69124985	25.1854248	25.79088593	25.6190815	25.87288284	25.36051559	25.05882645	25.41701317	25.1224823	25.28600883	25.13750839	25.47177887
P46821	P46821	MAP1B	Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2			25.58892632	25.30829239	25.89161491	25.67069244	25.85176086	25.60131073	25.33613968	27.01012421	26.73737335	26.90076637	27.56823349	26.87233734	26.79657173	26.79162216	25.60089493	25.35804749	25.57905006	26.21979523	25.75198746	26.04960251	25.64544106	26.36707306	26.71220207	26.63554764	27.0814476	26.91111565	27.0364399	26.88436508
P08865	P08865	RPSA	40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4			25.62999916	25.74347878	25.61365509	25.9134922	25.84177208	25.66450691	25.76698112	26.47743797	26.42888832	26.51871109	26.46221352	26.51961899	26.36742973	26.33264351	25.76877594	25.64134979	25.78202057	25.63256645	25.80711937	25.66517639	25.42740631	26.19547272	26.15093994	26.40369415	26.2947998	26.30409241	26.27130318	26.42604446
A0AVT1	A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1			24.96875	24.85737038	25.02730179	25.83449554	25.81187248	25.06258202	25.83378983	23.8809433	23.52409172	23.64521408	23.74385643	23.7983551	23.7476387	23.74592972	24.82507324	25.94807243	24.77594376	25.67902184	25.73356438	26.00337982	25.24454689	23.4245472	23.66450119	23.78286552	23.66780853	23.887146	23.88605499	24.05437469
P27695	P27695	APEX1	DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2			25.3027153	25.5553093	26.09710693	26.14582825	25.84550858	25.95224571	25.72237206	24.37565613	24.49970818	24.34355354	24.5452404	24.45535278	24.41182518	24.35609436	25.60710907	25.13164902	25.49569321	24.84678459	25.8282795	25.5380249	25.81509399	24.06156921	24.22514343	24.20625687	24.21035576	24.38307762	24.27172661	24.27891159
P41250	P41250	GARS	Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS PE=1 SV=3			26.04657936	25.98483276	25.23449326	25.68544579	25.82375526	25.45630646	25.94024467	25.81989098	25.36441994	26.10561752	25.61623764	25.79797363	25.82291412	26.04986572	25.84184456	26.42229271	26.21265221	26.17063332	25.95858574	26.17429733	24.88346481	25.47949028	26.20211411	26.00408173	26.13745499	26.12641144	26.19987679	25.91520119
P07602	P07602	PSAP	Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2		+	26.1241703	25.67316246	25.98476791	25.66467857	25.8203125	25.4568615	25.57758904	23.40955353	23.13668251	23.30303192	23.04066849	23.52909851	23.46948624	23.70635605	25.45522881	26.11763382	26.14738083	25.77890396	25.95056152	25.69413757	25.56874847	23.78771019	23.58377266	23.5741806	23.74147224	24.05748749	23.57889366	23.8507843
P49748-3	P49748	ACADVL	"Isoform 3 of Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL"			25.9828949	25.97411919	25.72418213	25.6824913	25.81294441	26.15386963	25.86027336	24.62251472	24.67894936	24.79714012	24.55112457	24.43710327	24.92054939	24.98708344	25.73938179	25.57463646	25.87589836	25.3104248	25.64055061	25.71396446	25.99108315	24.39160728	24.79338074	24.58939362	24.67735291	24.84905052	24.78808975	24.58538818
Q71U36	Q71U36	TUBA1A	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1			25.45370293	25.503479	25.71721458	25.75684357	25.83977509	25.37997437	25.57797813	25.82886314	25.84968758	25.82585144	25.70114708	25.90416718	25.76157951	25.78656006	25.6250782	25.74331665	25.62641907	25.86347961	25.77837372	25.88782883	25.55375671	25.10600471	25.68037415	25.74041557	25.90058136	25.80840683	25.53294373	25.70968819
P40227	P40227	CCT6A	T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3			25.55821991	25.66381073	25.60698509	25.72889519	25.78655243	25.64458466	25.59168243	25.92105103	25.90096664	25.91609764	26.00676346	25.94488907	25.79485893	25.73785019	25.71149445	24.60066986	25.68354988	25.52875328	25.61066818	25.63740921	25.73911285	25.70098305	24.88552666	25.85212326	25.81266975	25.65076828	25.77531242	25.97312546
P16615	P16615	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1			25.72007561	25.73462105	25.85811806	25.96469116	25.78038025	25.78855705	25.70433617	25.50889587	25.36979675	25.39177704	25.33036804	25.52944565	25.52769661	25.70851517	25.90284729	25.63566971	25.60498238	25.46873093	25.94818878	25.73137093	25.85545349	25.56927109	25.6824894	25.4406929	25.69741821	25.63707733	25.8140583	25.54536247
P14866	P14866	HNRNPL	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2			25.33024979	25.29818726	25.87862015	25.78369904	25.75255013	25.7552681	25.62287521	24.90164948	24.89667892	24.94569016	25.05046082	24.86949921	24.83176231	24.67269135	25.57595444	24.95054436	25.38587379	24.85902405	25.52770615	25.47742462	25.70343399	24.8997345	24.52064514	24.86872673	24.57967186	24.78238678	24.54040146	24.91921234
P04062	P04062	GBA	Glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA PE=1 SV=3		+	25.74110794	25.97249985	25.58918762	25.52522278	25.75901794	25.65511703	25.70205688	25.6695137	26.14179802	26.01884842	25.8502903	25.92922592	26.07622337	26.07178879	25.80707359	26.0144825	26.01282883	25.98857689	25.76408195	25.89055443	25.66371727	25.89143372	26.11038208	25.97056198	26.04453278	26.10301399	26.07301712	26.05451775
Q14980	Q14980	NUMA1	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2			25.52225494	25.47755623	26.07831955	25.69289017	25.76560211	25.8904438	25.60334587	25.02040863	25.1454258	24.99376869	25.20463371	24.95494461	25.18478584	24.93298721	25.61413002	24.90777397	25.35547066	25.05975533	25.71712875	25.57178116	25.87796402	25.14757156	25.01894951	24.98454666	24.91256142	25.15140152	25.03324318	24.98545837
P16435	P16435	POR	NADPH--cytochrome P450 reductase OS=Homo sapiens OX=9606 GN=POR PE=1 SV=2			25.63608742	25.74718094	25.95980072	25.51186371	25.75375748	26.0710144	25.41596985	23.81471634	23.55432701	23.67748451	23.57909584	23.61244392	23.76640892	23.80445099	25.77991104	24.64182472	25.50224876	24.6390934	25.80270767	26.12174797	26.33381462	23.65898514	23.81794739	23.75836945	23.82661247	23.67084503	24.05234528	23.4695549
P15880	P15880	RPS2	40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2			25.56526375	25.86495209	25.5425415	26.06779099	25.90154648	25.82423401	25.77793884	26.23803711	26.47966957	26.43542671	26.43360519	26.45197296	25.85204887	26.20557785	25.85310364	25.56267548	25.89466286	25.76558685	25.92718124	25.94961929	25.396698	26.3031044	25.94704819	26.20677376	26.26053429	26.1138649	26.30308723	26.25360107
P05455	P05455	SSB	Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2			25.35183525	25.54624557	25.77565765	25.87697983	25.73446465	25.69670677	25.61895561	24.60107422	24.5187149	24.73147774	24.59342384	24.55190659	24.48914528	24.51435661	25.53590775	25.387146	25.53893089	25.2157383	25.6647377	25.46575546	25.53226852	24.4087429	24.50558472	24.53485489	24.58275604	24.47543144	24.58024979	24.69626999
P05388	P05388	RPLP0	60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1			25.60123062	25.54363632	25.54991531	25.80142975	25.68524361	25.62010193	25.65840721	26.42549324	26.3632679	26.44634819	26.46941566	26.48163223	26.34518623	26.29430389	25.63271332	25.51651573	25.6454277	25.54085159	25.70939445	25.503582	25.28046036	26.25598717	26.13851929	26.3392334	26.26809692	26.30620193	26.28049469	26.40038681
Q9ULV4-3	Q9ULV4	CORO1C	Isoform 3 of Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C			25.64195251	25.20058823	25.47479439	25.50071526	25.72656059	25.57648849	25.67634773	25.97920227	26.35599518	26.24904442	26.37608528	26.1940155	26.18178368	26.27457809	25.50014687	25.68675613	25.75439835	25.83924866	25.31884193	25.62884521	25.63318443	26.08461571	26.22165108	26.15287018	26.21788025	26.27560806	26.09921646	26.16155434
O00231	O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3			25.29589844	25.70638275	25.53197479	25.66028214	25.71971321	25.63789368	25.5920887	25.63217735	25.51704788	25.5841732	25.40255928	25.5449791	25.50946999	25.71350861	25.57527733	25.61611938	25.72389984	25.44605827	25.69494629	25.63604355	25.62221527	25.320364	25.38776779	25.64634705	25.41812897	25.60983849	25.4160862	25.59896088
Q6P2Q9	Q6P2Q9	PRPF8	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2			25.53273964	25.67262459	25.8492012	25.74565887	25.71990013	25.73557281	25.63528633	26.13341713	26.00671768	25.80349731	25.76325798	26.12051773	25.81445122	25.88724518	25.62980652	25.37586975	25.62728882	25.55701447	25.68510818	25.70568848	25.79911232	26.02502823	25.82614517	24.60422897	25.89801598	25.91576385	26.00685692	24.54965401
P62424	P62424	RPL7A	60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2			25.8239994	25.63551331	25.58886337	25.92499542	25.67507553	25.79245186	25.99073601	26.43032455	26.52120018	26.76125526	26.42381859	26.73335266	26.35687447	26.40684509	25.51830673	25.50385666	25.61987495	25.48431969	25.74791336	25.54566193	25.38655281	26.46983337	26.18856239	26.41333389	26.29046631	26.37799644	26.34084702	26.61537933
Q9Y678	Q9Y678	COPG1	Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1			25.76967812	25.79144669	25.43105698	25.67590714	25.70300102	25.4777565	25.78309822	25.85369301	25.77915382	25.8847599	25.697649	25.70136642	25.68430138	25.84542084	25.56330872	25.75816727	25.79932594	25.62978745	25.58588219	25.64305115	25.25089836	25.50750732	25.71363068	25.85976028	25.78977394	25.67991638	25.83664894	25.70500946
P35606	P35606	COPB2	Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2			25.69836998	25.82658577	25.35677338	25.63951492	25.70795822	25.41275787	25.74454498	25.9472599	25.8520565	25.92412186	25.70768738	25.87808228	25.77670479	25.97598267	25.59644699	25.82187653	25.79871368	25.5801239	25.61530876	25.6950264	25.00796318	25.7883091	25.74367332	26.00761986	25.96380615	25.8427372	25.91860962	25.90337372
Q92841	Q92841	DDX17	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2			25.31370163	25.42861557	25.76411819	25.78606606	25.7053566	25.72791672	25.54496765	25.01364326	25.1336174	25.11147308	25.18149757	25.0161972	25.14762497	24.90895081	25.53827858	24.91988182	25.35903358	24.81254768	25.57314301	25.41843605	25.75065613	24.930336	24.75749969	24.97507858	24.81592178	24.91386223	24.72825623	24.94162178
P49588	P49588	AARS	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS PE=1 SV=2"			25.48011398	25.88908768	25.21142197	25.70030403	25.65312386	25.34098434	25.63252831	25.07991028	24.73088264	25.55427933	25.11184502	25.18961334	25.60682678	25.48143005	25.7167511	26.2891407	25.98291397	26.18906403	25.93703079	26.01615906	24.7587738	24.92802238	25.59877777	25.26739883	25.5633297	25.85364342	25.82986069	25.11493111
P49257	P49257	LMAN1	Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2			26.33847427	26.04508972	25.25904083	25.72914886	25.7047348	25.3326149	25.78142929	24.94602203	24.34734726	24.59188271	24.37878418	24.3680439	24.226511	24.80068207	25.67470169	26.01504135	25.73974037	25.54819679	25.79522896	25.72529221	25.08647919	24.41206551	24.63472748	24.52178955	24.58159828	24.75455856	24.90244675	24.5683136
P18124	P18124	RPL7	60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1			25.82406807	25.83053017	25.50576591	25.96253967	25.70110703	25.63652992	25.92696381	26.39991188	26.42204285	26.52536392	26.35544014	26.46570206	26.25514793	26.32360649	25.57731056	25.63290024	25.65402794	25.54105568	25.71966362	25.58388329	25.16251564	26.25824356	26.16552734	26.33237076	26.31100845	26.23081207	26.29939651	26.42980957
P39687	P39687	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1			25.29450226	25.16973495	25.91013527	25.84117126	25.68825531	25.92169762	25.55512428	23.60572433	23.82653046	23.68263054	23.85473824	23.77913475	23.93447876	23.30600739	25.42704391	24.6774807	25.33137894	24.44331551	25.59106064	25.39875984	26.01142311	23.84514236	23.55322647	23.39357758	23.43891907	23.80757141	23.68381691	23.85351181
P46781	P46781	RPS9	40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3			25.7647419	25.86610794	25.60215759	25.98640251	25.68194962	25.80209541	25.88987923	26.35436058	26.33907127	26.63195992	26.36721992	26.64359665	26.27381897	26.27148438	25.64269447	25.62194443	25.72488022	25.5442543	25.7609005	25.60052872	25.46962357	26.25354385	26.00166321	26.2828064	26.08280945	26.13970947	26.22215462	26.41283417
Q9HDC9	Q9HDC9	APMAP	Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2			25.72686386	24.97442055	25.64154625	25.54206085	25.66530609	25.64380646	25.34977531	23.91073036	24.03422165	23.9558773	23.64711952	23.79947662	23.970047	24.00547028	25.31716156	24.85107613	25.11768723	24.76494217	25.31943321	25.12990189	25.71946144	23.73820114	24.18683052	24.05894089	24.16580391	23.97986603	24.26945305	23.85219955
P04844	P04844	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3			25.7359848	25.88566589	25.25315857	25.81142044	25.66332436	25.18805122	25.55759239	25.49319077	25.3619442	25.61718941	25.30314064	25.40542984	25.24863243	25.51380157	25.78297043	26.15560532	25.79950523	25.59547234	25.67537308	25.52627563	24.88379669	25.06784439	25.68964577	25.4508667	25.60494232	25.40818024	25.64693832	25.42957687
Q7KZF4	Q7KZF4	SND1	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1			25.47558975	25.78244591	25.53704834	25.86352348	25.65070534	25.48237991	25.65610313	26.10789871	25.81986237	26.1600399	26.10843086	26.11801529	25.84881783	26.10071182	25.42201042	25.50096893	25.53766823	25.50248718	25.64121437	25.3237648	25.25711441	25.82142639	25.93950844	25.93954849	26.06025505	26.02381134	26.00747299	26.05974007
P42704	P42704	LRPPRC	"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3"			25.83070183	25.77969933	25.61680984	25.74564552	25.64741135	25.81677437	25.52054787	25.08846092	25.07864761	25.03495026	25.34194756	25.07223129	25.0745945	24.73271561	26.06010818	25.25318909	25.68413544	25.0696373	25.60097694	25.79685974	25.65643501	25.00411987	24.9216671	25.13046646	24.8141613	24.84340477	24.76939774	25.05635452
P62269	P62269	RPS18	40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3			25.51820374	25.53725624	25.47826767	25.67525482	25.52237511	25.56608582	25.54526901	26.3097744	26.36528206	26.45245934	26.40080833	26.46505737	26.27301598	26.20484543	25.41763878	25.41965866	25.80811119	25.41758919	25.60972977	25.38724899	25.23774147	26.26496696	26.0795269	26.2934227	26.11368179	26.15652466	26.17471886	26.40461922
P09493-4	P09493	TPM1	Isoform 4 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1			26.19862366	25.79467583	25.40550232	25.50876808	25.64514351	25.4760437	25.83057976	28.21615601	27.91977501	28.06990051	27.87321663	28.11682892	28.30030823	28.13705826	26.08375168	26.22266769	26.278265	26.78479576	25.90814209	26.11238289	24.94762993	28.20776749	28.42875481	28.16042328	28.84693527	28.1919632	28.74092865	28.25522041
P00325	P00325	ADH1B	Alcohol dehydrogenase 1B OS=Homo sapiens OX=9606 GN=ADH1B PE=1 SV=2			23.47097969	26.39840889	24.68931198	24.88328362	25.6199913	23.66760254	24.66198158	18.89393806	18.91029549	18.03752327	17.71688461	18.58928299	19.18948555	20.20610428	24.12175369	26.81497765	25.53227615	26.15236092	24.82570076	23.77347565	23.38255692	18.69571114	18.42364311	19.89110947	19.60660362	19.44134712	19.21517563	21.18516159
P49368	P49368	CCT3	T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4			25.39571953	25.47438049	25.66999435	25.63384628	25.62110519	25.63694382	25.54053307	25.99151421	25.96039772	25.92319107	26.05439758	26.01586533	25.8726387	25.7849884	25.55191612	24.76768303	25.59329796	25.59392166	25.51008797	25.5359726	25.77819633	25.92622185	25.21161652	25.98554993	25.76610565	25.73905563	25.85021591	26.05383492
Q16658	Q16658	FSCN1	Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3			25.5243721	25.66111755	25.31262207	25.45796967	25.60540962	25.18793297	25.57568359	26.68687248	26.66117096	26.73624802	26.84633064	26.68930435	26.72819138	26.71642685	25.42198753	25.98126602	25.57265091	25.78446198	25.47167206	25.7508564	25.06199837	26.4111805	26.60707474	26.63724518	26.81175041	26.64587212	26.77795029	26.31429672
P61981	P61981	YWHAG	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2			25.68344116	25.49859619	25.44380569	25.48766136	25.60045624	25.49634933	25.61886406	25.55878258	25.53415298	25.45085335	25.41691399	25.58398438	25.43628311	25.52639008	25.75558472	25.85223007	25.80308342	25.96634483	25.83875656	25.95506668	25.23902893	25.49920845	25.48464966	25.52878189	25.56455803	25.47673416	25.67491913	25.66033936
Q01518-2	Q01518	CAP1	Isoform 2 of Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1			25.60964966	25.66956711	25.42946434	25.45042038	25.60439491	25.51462555	25.6913147	26.88695145	26.91352463	26.94461441	26.87941551	27.0880928	27.04251862	27.03962708	25.53911209	26.08200455	25.83254433	26.08810806	25.60089493	25.80643845	25.26622391	26.9492588	26.992939	26.98360825	27.18052864	27.04064751	27.02879143	27.03919983
P35580-3	P35580	MYH10	Isoform 3 of Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10			25.96793365	25.1791935	25.69915009	25.87143326	25.5904007	25.65573502	25.68520737	25.77925491	25.65420723	25.96350479	26.00268364	25.68638039	26.17386436	26.01031494	25.85308647	25.90358734	25.98671722	26.01672745	25.70344543	25.81122971	25.50115585	25.84059906	26.10711288	25.7942009	26.24688148	26.22021103	26.09747505	25.85241508
Q15233	Q15233	NONO	Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4			25.14352417	25.50687027	25.74590683	25.6698494	25.59018135	25.82217407	25.47244263	25.21502304	25.26173019	25.39474297	25.43275642	25.42391205	25.38802147	25.36128235	25.5529995	25.14310074	25.34645271	24.94185829	25.58299065	25.62869644	25.8842926	25.12376213	24.94434357	25.56964111	25.26199722	25.15673447	25.2114563	25.4266243
Q92499	Q92499	DDX1	ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2			25.43123055	25.50708199	25.57637215	25.71938515	25.5783577	25.46375275	25.5500164	24.89754486	24.88720322	24.96182251	24.93792534	24.88615036	24.80537605	24.94484711	25.54718971	25.45523262	25.49471092	25.248106	25.55878448	25.49897385	25.3140583	24.81843567	24.89406967	24.97305679	25.01725388	24.94976044	25.02244186	25.0128994
P62820	P62820	RAB1A	Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3			25.51235199	25.40854263	25.67070198	25.52687263	25.5483036	25.57826614	25.62715912	25.69672012	25.64692116	25.7061882	25.58091164	25.68590546	25.68448257	25.72159195	26.13936234	25.42794418	25.72520447	25.49955559	25.58740234	25.53557396	25.61557007	25.83384323	25.67350197	25.83813858	25.78098679	25.61756325	25.85568428	25.72253799
P17987	P17987	TCP1	T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1			25.29787445	25.38819122	25.44147301	25.48722458	25.57370758	25.41703033	25.39745522	25.84498024	25.78032875	25.82364845	25.88169098	25.8480835	25.63985825	25.6285553	25.36012077	24.61124802	25.38337326	25.31786728	25.35668945	25.3739624	25.53045654	25.58332062	24.92501831	25.68921661	25.66028404	25.53217506	25.53251266	25.83747101
P61158	P61158	ACTR3	Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3			25.61836052	25.55395508	25.41062927	25.3370285	25.55400848	25.37543297	25.61760902	26.18545532	26.19439316	26.28751373	26.03837204	26.26861	26.25428009	26.26654434	25.48105621	25.99354744	25.68902969	25.8220768	25.62300491	25.64353943	25.35168648	25.91488647	26.15677261	26.16659546	26.38105392	26.27450371	26.25646591	26.11519241
P12814-3	P12814	ACTN1	Isoform 3 of Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1			25.72472382	25.34427643	25.28707504	25.78056717	25.59122658	25.3399601	25.6250515	26.76877785	27.18379974	27.00068855	26.83160782	27.09428024	27.21256256	27.09184265	25.57349396	26.17256927	25.88243484	26.18290329	25.4433136	25.68865585	24.9669857	26.80369949	27.36597061	27.02762604	27.4841423	27.24654007	27.18136597	26.98803329
O94979-8	O94979	SEC31A	Isoform 8 of Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A			25.49220085	25.51345825	25.2541256	25.50518417	25.55162048	25.36932755	25.54020119	25.6591053	25.45223045	25.620224	25.47187805	25.54701805	25.40551567	25.68603897	25.44522667	25.52735329	25.58695412	25.31826973	25.49756241	25.40326309	25.15427017	25.50855637	25.32825089	25.65015984	25.50268173	25.55970383	25.56204605	25.61577606
P13489	P13489	RNH1	Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2			25.50745201	26.02454758	25.27193642	25.27419472	25.58019638	25.26135635	25.61732101	27.04165649	26.94639587	27.08440208	26.87940598	26.96829033	27.14633369	27.30522537	25.40688515	26.1105938	25.83697891	25.83738327	25.59846497	25.75343323	25.19376945	26.76136208	27.08635712	27.06373024	27.15592003	27.32467461	27.20196724	27.04900169
P50991	P50991	CCT4	T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4			25.35609055	25.39823532	25.47377396	25.55378723	25.55487633	25.49132919	25.48734665	25.88865662	25.87589836	25.91086769	26.00453186	25.97978592	25.75639725	25.74229813	25.43725204	24.7491951	25.46336937	25.38129425	25.42769432	25.3944416	25.62522888	25.70523834	25.1098175	25.79589844	25.7519207	25.66398621	25.72828674	25.94061279
P49411	P49411	TUFM	"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2"			25.9461937	25.88425827	25.50588226	25.68789482	25.55392838	25.76564217	25.46284294	25.1305027	24.94516373	24.92793274	24.98415375	24.98092651	24.96073914	25.07277298	25.80029488	25.29309845	25.66217804	25.275774	25.50636101	25.64679337	25.57538223	24.93105316	24.94236374	24.93224335	24.97620392	25.00439262	24.98089218	24.90490341
O00159-3	O00159	MYO1C	Isoform 3 of Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C			25.89741325	26.17328453	26.07155228	25.25862122	25.54389763	25.68420982	26.65235138	26.13554001	27.21083641	26.32808304	25.95213509	26.04439545	26.35949326	26.52396965	25.52246857	26.55038261	26.07174492	25.9152317	25.87768364	25.85267258	25.91858482	27.58195877	26.89769363	26.59292221	26.50887108	26.70287323	26.36309052	26.46983719
Q14974	Q14974	KPNB1	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2			25.52622032	25.47577095	25.47013855	25.61249352	25.54365158	25.38458061	25.53510857	25.84856987	25.78730392	25.98019028	25.99230003	25.86907959	25.87843323	25.91708374	25.34002495	25.62492561	25.52712631	25.44070435	25.52021027	25.50350952	25.30638313	25.55467987	25.86729622	25.7257061	26.00824356	25.92543793	25.81782722	25.8338356
P36871	P36871	PGM1	Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3			25.6054821	25.25486183	25.44804573	25.53882408	25.53680992	25.50120163	25.54593658	24.65140533	23.89174843	24.6642437	24.10009575	24.26822281	24.2300148	24.66789627	25.39003944	25.56034851	25.72097969	25.2375927	25.41293144	25.52338409	25.58145142	24.1978817	24.62852097	24.62720871	24.77351761	24.66825485	24.40809822	24.58398247
